name,rank,year_published,mechanics,categories,subdomains,playing_time,mfg_suggested_ages,user_suggested_ages,expansions,languages,honors,mfg_suggested_players,user_suggested_players,count_ratings,avg_ratings,std_deviation,count_views
Lord of the Rings: The Confrontation,274,2002,"Area Movement, Hand Management, Secret Unit Deployment, Simultaneous Action Selection","Adventure, Bluffing, Deduction, Fantasy",Strategy Games,30 minutes,12 and up,10 and up,Locust Horde (fan expansion for Lord of the Rings: The Confrontation),Moderate in-game text - needs crib sheet or paste ups,"2002 Meeples' Choice Award, 2003 International Gamers Awards - General Strategy; Two-players, 2008 JoTa Best 2-Player Board Game Nominee",2,Best with 2 players,5507,7.24,1.37,343483
Space Hulk,275,1989,"Space Hulk Campaigns, Space Hulk: Deathwing Expansion, Space Hulk: Genestealer Expansion","Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board","Fighting, Miniatures, Science Fiction",45 minutes,12 and up,10 and up,"Space Hulk (fourth edition), Space Hulk (second edition), Space Hulk (third edition)",No necessary in-game text,Thematic Games,24,Best with 2 players,2927,7.47,1.64,519244
Among the Stars,276,2012,"Card Drafting, Simultaneous Action Selection, Tile Placement, Variable Player Powers","Card Game, City Building, Science Fiction",Strategy Games,30 minutes,12 and up,10 and up,"Among the Stars: Ambassadorial Shuttle, Among the Stars: Expanding the Alliance, Among the Stars: Hythian, Among the Stars: Indiegogo Promos",Moderate in-game text - needs crib sheet or paste ups,2015 Origins Awards Best Card Game Nominee,24,Best with 4 players,3633,7.32,1.18,419646
Vegas Showdown,277,2005,"Auction/Bidding, Route/Network Building, Tile Placement",Economic,Strategy Games,75 minutes,12 and up,10 and up,"Cities: Las Vegas (Nevada, USA)",Moderate in-game text - needs crib sheet or paste ups,"2006 Golden Geek Best Family Board Game Nominee, 2007 Games Magazine Game of the Year Winner",35,Best with 5 players,5075,7.24,1.14,198726
Escape: The Curse of the Temple,278,2012,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board","Adventure, Dice, Electronic, Exploration",Family Games,10 minutes,8 and up,8 and up,"Escape: Illusions, Escape: Quest, Escape: The Curse of the Temple  Doomed, Escape: The Curse of the Temple  Fountain",No necessary in-game text,"2012 Meeples' Choice Nominee, 2013 rets Spill Best Family Game Winner, 2013 Golden Geek Best Family Board Game Nominee, 2013 Golden Geek Best Innovative Board Game Nominee",15,Best with 4 players,8255,7.17,1.40,514649
The Duke,279,2013,"Grid Movement, Tile Placement","Abstract Strategy, Medieval",Abstract Games,30 minutes,13 and up,10 and up,"The Duke: Arthurian Legends Expansion, The Duke: Customization Expansion Pack, The Duke: Jester Promo Tile, The Duke: Lancer Promo Tile",No necessary in-game text,"2013 Golden Geek Best 2-Player Board Game Nominee, 2013 Golden Geek Best Abstract Board Game Nominee, 2013 Golden Geek Best Print & Play Board Game Nominee, 2014 Mensa Select Winner",2,Best with 2 players,1569,7.72,1.22,141437
Snowdonia,280,2012,"Card Drafting, Hand Management, Worker Placement",Trains,Strategy Games,3090 minutes,10 and up,10 and up,"Snowdonia: Bayerische Zugspitzbahn, Snowdonia: Britannia Bridge, Snowdonia: Card 31 of 30, Snowdonia: Erweiterung",Moderate in-game text - needs crib sheet or paste ups,"2012 Meeples' Choice Nominee, 2013 International Gamers Award - General Strategy: Multi-player Nominee, 2013 UK Games Expo Best Boardgame Nominee",15,(Not best with any number),2344,7.49,1.24,242628
Tinners' Trail,281,2008,"Action Point Allowance System, Auction/Bidding, Commodity Speculation, Dice Rolling","Economic, Industry / Manufacturing",Strategy Games,6090 minutes,13 and up,12 and up,"Country: England, Mining, Treefrog Line",No necessary in-game text,"2008 International Gamers Awards - General Strategy; Multi-player Nominee, 2009 Golden Geek Best Gamers' Board Game Nominee, 2010 Juego del Ao Finalist, 2011 Ludoteca Ideale Official Selection Winner",34,Best with 4 players,3148,7.36,1.16,189277
Power Grid deluxe: Europe/North America,282,2014,Power Grid: The Stock Companies,"Auction/Bidding, Route/Network Building","Economic, Industry / Manufacturing",120 minutes,12 and up,6 and up,Power Grid,No necessary in-game text,Strategy Games,26,Best with 4 players,875,8.27,1.18,114517
Vasco da Gama,283,2009,"Card Drafting, Tile Placement, Worker Placement","Nautical, Renaissance",Strategy Games,60120 minutes,12 and up,12 and up,"Colonial Theme, Country: Portugal",No necessary in-game text,"2009 Jogo do Ano Nominee, 2010 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 2010 International Gamers Awards - General Strategy; Multi-player Nominee, 2010 JUG Game of the Year Winner",24,Best with 4 players,3349,7.35,1.32,299414
Friedrich,284,2004,"Hand Management, Point to Point Movement, Secret Unit Deployment","Age of Reason, Wargame",Wargames,210 minutes,12 and up,12 and up,Maria,Some necessary text - easily memorized or small crib sheet,"2006 Games Magazine Best New Historical Simulation Game Winner, 2006 Golden Geek Best Wargame Nominee",34,Best with 4 players,1986,7.58,1.54,308737
Bohnanza,285,1997,"Hand Management, Set Collection, Trading","Card Game, Farming, Negotiation",Family Games,45 minutes,13 and up,8 and up,"Auf der schwb'schen Eisenbohn, Bohn Camillo, Bohnanza Erweiterungs-Set, Bohnanza Erweiterungs-Set (Revised Edition)",No necessary in-game text,"1997 Fairplay  la carte Winner, 1997 Meeples' Choice Award, 1997 Spiel des Jahres Recommended, 2003 Nederlandse Spellenprijs Nominee",27,Best with 5 players,23857,7.09,1.28,687942
Virgin Queen,286,2012,"Campaign / Battle Card Driven, Dice Rolling, Partnerships, Point to Point Movement","Negotiation, Pike and Shot, Political, Religious",Wargames,420 minutes,12 and up,14 and up,"Country: England, Country: France, Country: Holy Roman Empire, Country: Netherlands",Extensive use of text - massive conversion needed to be playable,"2012 Charles S. Roberts Best Ancient to Napoleonic Era Board Wargame Nominee, 2012 Golden Geek Best Wargame Nominee",26,Best with 6 players,932,8.17,1.58,367674
Carcassonne: Hunters and Gatherers,287,2002,"Carcassonne: King & Scout, Carcassonne: Kreivi ja Kuningas, Die Steinmauer (Fan Expansion for Carcassonne: Die Jger und Sammler)","Area Control / Area Influence, Tile Placement",Prehistoric,3045 minutes,8 and up,8 and up,Carcassonne,No necessary in-game text,Family Games,25,Best with 23 players,8790,7.16,1.25,333550
Dungeons & Dragons: The Legend of Drizzt Board Game,288,2011,"Castle Ravenloft: Gray Hag Promo, Dungeons & Dragons: The Legend of Drizzt Board Game - Vierna Do'Urden Promo, Wrath of Ashardalon: Kobold Champion Promo","Co-operative Play, Dice Rolling, Grid Movement, Modular Board","Adventure, Exploration, Fantasy, Fighting",60 minutes,12 and up,10 and up,"Dungeons & Dragons: Castle Ravenloft Board Game, Dungeons & Dragons: Temple of Elemental Evil Board Game, Dungeons & Dragons: Wrath of Ashardalon Board Game",Moderate in-game text - needs crib sheet or paste ups,Thematic Games,15,Best with 34 players,3187,7.42,1.32,478388
Torres,289,1999,"Action Point Allowance System, Area Control / Area Influence, Area Enclosure, Grid Movement","Abstract Strategy, Medieval","Abstract Games, Strategy Games",60 minutes,12 and up,10 and up,"3D Games, The Mask Trilogy",No necessary in-game text,"2000 Games Magazine Game of the Year Winner, 2000 International Gamers Awards - General Strategy; Multi-player Nominee, 2000 Spiel des Jahres Nominee, 2000 Spiel des Jahres Winner",24,Best with 4 players,188,null,7.19,1.27
Spyfall,290,2014,"Acting, Memory, Partnerships","Bluffing, Card Game, Deduction, Humor",Party Games,15 minutes,12 and up,12 and up,"Spyfall: Cathedral promo cards, Spyfall: Ice Hockey Stadium promo cards, Spyfall: The Box Is Not Enough",Some necessary text - easily memorized or small crib sheet,"2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Party Board Game Nominee",38,Best with 6 players,2713,7.41,1.40,241628
Freedom: The Underground Railroad,291,2012,"Co-operative Play, Pick-up and Deliver, Point to Point Movement, Variable Player Powers","American Civil War, Economic, Educational, Political","Strategy Games, Thematic Games",60120 minutes,13 and up,10 and up,Freedom: The Underground Railroad  Promo Cards,Moderate in-game text - needs crib sheet or paste ups,"2013 Golden Geek Best Thematic Board Game Nominee, 2014 International Gamers Award - General Strategy: Multi-player Nominee, 2014 Origins Awards Best Historical Board Game Nominee",14,(Not best with any number),149,null,7.70,1.26
Sushi Go!,292,2013,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection",Card Game,Family Games,20 minutes,8 and up,6 and up,Sushi Go!: Soy Sauce Promo,No necessary in-game text,"2013 Golden Geek Best Card Game Nominee, 2013 Golden Geek Best Family Board Game Nominee, 2015 Nederlandse Spellenprijs Best Family Game Nominee, 2015 Origins Awards Best Card Game Nominee",25,Best with 4 players,7127,7.17,1.09,202402
Luna,293,2010,"Area Control / Area Influence, Modular Board, Point to Point Movement, Tile Placement","Fantasy, Religious",Strategy Games,60100 minutes,12 and up,12 and up,Solitaire Games,No necessary in-game text,"2010 Jogo do Ano Nominee, 2011 JoTa Best Light Board Game Nominee, 2011 Spiel des Jahres Recommended",14,Best with 4 players,2483,7.42,1.34,218334
Homesteaders,294,2009,"Auction/Bidding, Worker Placement","American West, City Building, Economic",Strategy Games,90 minutes,12 and up,12 and up,"Quined Master Print Edition Series, Tableau Building, TMG Originals",Some necessary text - easily memorized or small crib sheet,2010 Golden Geek Best Strategy Board Game Nominee,24,Best with 4 players,2787,7.37,1.18,268071
Mr. Jack,295,2006,"Grid Movement, Variable Player Powers","Deduction, Murder/Mystery",Strategy Games,30 minutes,9 and up,10 and up,"Mr. Jack Extension, Mr. Jack: The Carriage",No necessary in-game text,"2006 Tric Trac Nominee, 2007 Golden Geek Best 2-Player Board Game Nominee, 2007 International Gamers Awards - General Strategy; Two-players, 2007 Nederlandse Spellenprijs Nominee",2,Best with 2 players,10214,7.12,1.23,479785
Thunderstone: Dragonspire,296,2011,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Fantasy","Strategy Games, Thematic Games",45 minutes,12 and up,10 and up,"Thunderstone Avatars, Thunderstone: Doomgate Legion, Thunderstone: Heart of Doom, Thunderstone: Promo Pack",Moderate in-game text - needs crib sheet or paste ups,"2011 Golden Geek Best Board Game Expansion Nominee, 2011 Golden Geek Best Card Game Nominee",15,Best with 23 players,170,null,7.47,1.45
Colosseum,297,2007,"Auction/Bidding, Dice Rolling, Roll / Spin and Move, Set Collection","Ancient, Negotiation","Family Games, Strategy Games",6090 minutes,10 and up,10 and up,Ancient Rome,No necessary in-game text,"2007 Golden Geek Best Board Game Artwork/Presentation Nominee, 2007 Golden Geek Best Family Board Game Nominee, 2007 Golden Geek Best Gamer's Board Game Nominee, 2007 International Gamers Awards - General Strategy; Multi-player Nominee",35,Best with 5 players,38,null,7.18,1.23
Myrmes,298,2012,"Action Point Allowance System, Dice Rolling, Grid Movement, Route/Network Building","Animals, Environmental, Farming",Strategy Games,60120 minutes,13 and up,12 and up,Myrmes: Colony Tiles,No necessary in-game text,"2012 Meeples' Choice Nominee, 2012 Tric Trac d'Or, 2012 Tric Trac Nominee, 2013 As d'Or - Jeu de l'Anne Grand Prix Winner",24,Best with 4 players,2852,7.38,1.25,240936
Union Pacific,299,1999,"Card Drafting, Route/Network Building, Stock Holding","Economic, Trains",Strategy Games,90 minutes,12 and up,10 and up,Airlines Europe,No necessary in-game text,"1999 Deutscher Spiele Preis Best Family/Adult Game 3rd Place, 1999 Essener Feder Best Written Rules Winner, 1999 Meeples' Choice Award, 1999 Spiel des Jahres Nominee",26,Best with 45 players,3737,7.27,1.31,222433
Heroscape Master Set: Swarm of the Marro,300,2007,"Heroscape Expansion Set D1: Champions of the Forgotten Realms, Heroscape Expansion Set D2: Warriors of Eberron, Heroscape Expansion Set D3: Moltenclaw's Invasion, Heroscape Expansion Set: Aquilla's Alliance","Dice Rolling, Modular Board","Adventure, Fantasy, Fighting, Miniatures",60 minutes,8 and up,Moderate in-game text - needs crib sheet or paste ups,"Heroscape Marvel: The Conflict Begins, Heroscape Master Set:  Battle for the Underdark, Heroscape Master Set: Rise of the Valkyrie",,"Customizable Games, Thematic Games",24,,50,null,7.62,1.36
Quantum,301,2013,Quantum: The Void,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board","Civilization, Dice, Science Fiction, Space Exploration",60 minutes,13 and up,10 and up,4X games,Moderate in-game text - needs crib sheet or paste ups,"Abstract Games, Strategy Games",24,Best with 4 players,190,null,7.41,1.38
Yspahan,302,2006,"Area Control / Area Influence, Dice Rolling","Arabian, Dice, Economic","Family Games, Strategy Games",4560 minutes,8 and up,10 and up,"Yspahan: The Souks, Ystari Box",No necessary in-game text,"2006 Meeples' Choice Award, 2006 Tric Trac d'Or, 2006 Tric Trac Nominee, 2007 Golden Geek Best Family Board Game Nominee",24,Best with 34 players,39,null,7.16,1.18
Eminent Domain,303,2011,"Card Drafting, Deck / Pool Building, Hand Management, Variable Phase Order","Card Game, Civilization, Science Fiction, Space Exploration",Strategy Games,45 minutes,10 and up,10 and up,"Eminent Domain: Bonus Planets, Eminent Domain: Cygnus Planet Promo, Eminent Domain: Elusive/Exclusive Victory Promo, Eminent Domain: Escalation",Moderate in-game text - needs crib sheet or paste ups,"2012 Golden Geek Best Card Game Nominee, 2012 JoTa Best Family Board Game Nominee, 2013 Fairplay  la carte Winner",24,Best with 3 players,6013,7.17,1.31,532401
Stronghold,304,2009,"Action Point Allowance System, Area Control / Area Influence, Point to Point Movement, Variable Player Powers","Fantasy, Fighting, Medieval",Strategy Games,120 minutes,10 and up,14 and up,"Stronghold: Heroes, Stronghold: Undead",No necessary in-game text,"2010 Golden Geek Best 2-Player Board Game Nominee, 2010 Golden Geek Best Wargame Nominee, 2010 International Gamers Award - General Strategy: Two-players, 2010 JoTa Best Artwork Nominee",24,Best with 2 players,2850,7.36,1.39,743231
Elysium,305,2015,"Card Drafting, Deck / Pool Building, Set Collection","Ancient, Card Game, Mythology",Strategy Games,60 minutes,14 and up,12 and up,"Country: Greece, Tableau Building",Some necessary text - easily memorized or small crib sheet,"2015 International Gamers Award - General Strategy: Multi-player Nominee, 2015 Kennerspiel des Jahres Nominee",24,(Not best with any number),2005,7.52,1.19,202776
Genoa,306,2001,"Auction/Bidding, Dice Rolling, Grid Movement, Pick-up and Deliver","Negotiation, Renaissance",Strategy Games,60120 minutes,12 and up,12 and up,"Alea Big Box, Filosofia Reprints",Some necessary text - easily memorized or small crib sheet,"2001 Deutscher Spiele Preis Best Family/Adult Game 3rd Place, 2001 Spiel des Jahres Recommended, 2002 International Gamers Awards - General Strategy; Multi-player Nominee, 2010 Vuoden Peli Adult Game of the Year Nominee",25,Best with 5 players,5195,7.21,1.39,344534
D-Day at Omaha Beach,307,2009,"Hex-and-Counter, Secret Unit Deployment, Simulation","Wargame, World War II",Wargames,480 minutes,12 and up,12 and up,"Country: France, D-Day Series, Solitaire Games, Solitaire Wargames",Moderate in-game text - needs crib sheet or paste ups,"2009 Charles S. Roberts Best World War 2 Era Board Wargame Nominee, 2009 Charles S. Roberts Best World War 2 Era Board Wargame Winner, 2010 Golden Geek Best Wargame Nominee",12,Best with 1 players,829,8.31,1.41,350111
Tribune: Primus Inter Pares,308,2007,"Auction/Bidding, Card Drafting, Hand Management, Set Collection","Ancient, Political",Strategy Games,60 minutes,12 and up,12 and up,Tribune Expansion,Moderate in-game text - needs crib sheet or paste ups,"2007 Jogo do Ano Nominee, 2008 Golden Geek Best Gamer's Board Game Nominee, 2008 International Gamers Awards - General Strategy; Multi-player Nominee, 2008 Ludoteca Ideale Official Selection",25,Best with 4 players,3637,7.28,1.19,225547
Madeira,309,2013,"Card Drafting, Dice Rolling, Modular Board, Worker Placement","City Building, Dice, Economic, Exploration",Strategy Games,120 minutes,12 and up,14 and up,"Madeira: The Ambassadors, Madeira: The Harvester",No necessary in-game text,2013 Meeples' Choice Nominee,24,Best with 4 players,1542,7.66,1.46,239706
Bridge,310,1925,"Bridge, Card Games: Outplay Games, Promotional Board Games, Traditional Card Games",Draw-Bridge,"Auction/Bidding, Betting/Wagering, Hand Management, Memory",60 minutes,12 and up,No necessary in-game text,,,Card Game,4,,176,null,7.46,2.01
Tobago,311,2009,"Grid Movement, Hand Management, Modular Board, Press Your Luck","Adventure, Exploration",Family Games,60 minutes,13 and up,8 and up,"Archeology, Country: Trinidad and Tobago, Tropical theme",No necessary in-game text,"2010 As d'Or - Jeu de l'Anne Nominee, 2010 Boardgames Australia Awards Best International Game Nominee, 2010 Golden Geek Best Family Board Game Nominee, 2010 Golden Geek Best Family Board Game Winner",24,Best with 4 players,6962,7.13,1.15,392842
Chinatown,312,1999,"Set Collection, Tile Placement, Trading","City Building, Economic, Negotiation","Family Games, Strategy Games",60 minutes,12 and up,10 and up,"Alea Big Box, Asian Theme, Filosofia Reprints",No necessary in-game text,"1999 Spiel des Jahres Recommended, 2000 International Gamers Awards - General Strategy; Multi-player Nominee, 2008 rets Spill Best Family Game Nominee",35,Best with 5 players,40,null,7.20,1.30
Squad Leader,313,1977,"Dice Rolling, Hex-and-Counter, Modular Board, Simulation","Wargame, World War II",Wargames,60 minutes,14 and up,14 and up,"Blood & Sand: Pacific Variant for Squad Leader, Crescendo of Doom, Cross of Iron, G.I. Anvil of Victory",Extensive use of text - massive conversion needed to be playable,"1977 Charles S. Roberts Best Tactical Game Winner, 1977 Charles S. Roberts Best Tactical Nominee, 2003 Origins Awards Hall of Fame Inductee",2,Best with 2 players,2458,7.46,1.55,240826
Conflict of Heroes: Storms of Steel!  Kursk 1943,314,2009,"Action Point Allowance System, Dice Rolling, Hex-and-Counter, Modular Board","Wargame, World War II",Wargames,120 minutes,12 and up,12 and up,"Conflict of Heroes: Duty-Bound, Conflict of Heroes: Monster Tanks of the Eastern Front, Conflict of Heroes: Price of Honour  Poland 1939, Conflict of Heroes: Wrecks and Destruction on the Eastern Front",Moderate in-game text - needs crib sheet or paste ups,"2009 Golden Geek Best Wargame Nominee, 2009 Origins Awards Best Historical Board Game Winner, 2010 Golden Geek Best Wargame Nominee",14,Best with 2 players,1277,7.82,1.52,377561
Formula D,315,2008,"Dice Rolling, Grid Movement, Player Elimination, Press Your Luck","Racing, Sports","Family Games, Thematic Games",60 minutes,8 and up,8 and up,"Formula D: Catalina Santana Promo, Formula D: Circuits 1  Sebring & Chicago, Formula D: Circuits 2  Hockenheim and Valencia, Formula D: Circuits 3  Singapore & The Docks",No necessary in-game text,"2008 Lucca Games Best Family Game, 2009 Golden Geek Best Board Game Artwork/Presentation Nominee, 2009 Golden Geek Best Family Board Game Nominee, 2009 Golden Geek Best Party Board Game Nominee",210,Best with 58 players,51,null,7.10,1.29
Star Wars: Armada,316,2015,"Action / Movement Programming, Dice Rolling, Variable Player Powers","Collectible Components, Miniatures, Science Fiction, Wargame","Thematic Games, Wargames",120 minutes,14 and up,10 and up,"Star Wars: Armada - Home One Expansion Pack, Star Wars: Armada  Assault Frigate Mark II Expansion Pack, Star Wars: Armada  CR90 Corellian Corvette Expansion Pack, Star Wars: Armada  Gladiator-class Star Destroyer Expansion Pack",Moderate in-game text - needs crib sheet or paste ups,2015 International Gamers Award - General Strategy: Two-players Nominee,2,Best with 2 players,27,null,8.23,1.37
Alhambra,317,2003,"Card Drafting, Hand Management, Set Collection, Tile Placement","Arabian, City Building, Medieval","Family Games, Strategy Games",4560 minutes,8 and up,8 and up,"Alhambra: Medina Buildings, Alhambra: Power of the Sultan, Alhambra: The City Gates, Alhambra: The Falconers",No necessary in-game text,"2003 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 2003 Essener Feder Best Written Rules Winner, 2003 International Gamers Awards - General Strategy; Multi-player Nominee, 2003 Spiel des Jahres Nominee",26,Best with 3 players,49,null,7.05,1.20
Taluva,318,2006,"Modular Board, Tile Placement","City Building, Territory Building","Abstract Games, Strategy Games",45 minutes,8 and up,10 and up,"3D Games, Admin: Better Description Needed!, Crowdfunding: Kickstarter, Oceanian Theme",No necessary in-game text,"2007 Golden Geek Best 2-Player Board Game Nominee, 2007 Golden Geek Best Board Game Artwork/Presentation Nominee, 2007 Golden Geek Best Family Board Game Nominee, 2007 Tric Trac Nominee",24,Best with 2 players,210,null,7.18,1.26
World Without End,319,2009,Hand Management,"Economic, Medieval, Novel-based, Religious",Strategy Games,90120 minutes,12 and up,12 and up,"Country: England, Ken Follett novels, Kosmos Literature Series",Moderate in-game text - needs crib sheet or paste ups,"2010 Deutscher Spiele Preis Best Family/Adult Game 3rd Place, 2010 International Gamers Awards - General Strategy; Multi-player Nominee, 2010 Juego del Ao Finalist, 2010 Lys Passion Finalist",24,Best with 4 players,3174,7.31,1.27,222254
Ascension: Storm of Souls,320,2011,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Fantasy",Strategy Games,30 minutes,13 and up,10 and up,"Ascension: Archival Expert Promo, Ascension: Cetra, Benefactor of All Promo, Ascension: Chronicle of the Godslayer  Big Bad Bunny Promo, Ascension: Chronicle of the Godslayer  Constricting Horror Promo",Moderate in-game text - needs crib sheet or paste ups,2012 Golden Geek Best Board Game Expansion Nominee,14,Best with 2 players,2293,7.45,1.34,103225
Spyrium,321,2013,Worker Placement,"City Building, Economic, Industry / Manufacturing, Science Fiction",Strategy Games,75 minutes,12 and up,12 and up,"Country: England, Steampunk, Ystari originals",No necessary in-game text,"2013 Meeples' Choice Nominee, 2014 International Gamers Award - General Strategy: Multi-player Nominee, 2014 Tric Trac Nominee",25,Best with 4 players,3525,7.25,1.08,238305
Colt Express,322,2014,"Action / Movement Programming, Hand Management, Memory, Modular Board","American West, Fighting, Trains",Family Games,3040 minutes,10 and up,8 and up,"Brettspiel Adventskalender 2015, Colt Express: Horses & Stagecoach",No necessary in-game text,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Family Board Game Nominee, 2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Thematic Board Game Nominee",26,Best with 56 players,4038,7.24,1.18,213403
ZRTZ,323,1999,"Grid Movement, Set Collection",Abstract Strategy,Abstract Games,30 minutes,9 and up,8 and up,GIPF Project Set 2,No necessary in-game text,"2000 Mensa Select Winner, 2000 Spiel des Jahres Recommended, 2001 International Gamers Award - General Strategy: Two-players",2,Best with 2 players,3002,7.32,1.33,166976
Reef Encounter,324,2004,"Area Control / Area Influence, Card Drafting, Commodity Speculation, Hand Management","Animals, Environmental, Territory Building",Strategy Games,60120 minutes,10 and up,12 and up,Reef Encounter of the Second Kind,No necessary in-game text,"2005 International Gamers Awards - General Strategy; Multi-player Nominee, 2006 Golden Geek Best Gamer's Board Game Nominee, 2006 Nederlandse Spellenprijs Nominee, 2006 Tric Trac Nominee",24,Best with 3 players,4377,7.19,1.40,299680
Abyss,325,2014,"Auction/Bidding, Card Drafting, Hand Management, Press Your Luck","Card Game, Mythology, Science Fiction",Strategy Games,3060 minutes,14 and up,10 and up,"Abyss: Angler Promo, Abyss: Kraken, Brettspiel Adventskalender 2015",Moderate in-game text - needs crib sheet or paste ups,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Board Game Artwork & Presentation Winner, 2014 Golden Geek Best Card Game Nominee, 2014 Tric Trac Nominee",24,Best with 4 players,2744,7.36,1.21,213951
Space Empires: 4X,326,2011,"Dice Rolling, Hex-and-Counter, Secret Unit Deployment","Bluffing, Science Fiction, Space Exploration, Wargame",Wargames,180 minutes,12 and up,12 and up,"Space Empires: Close Encounters, Space Empires: Replicators",Some necessary text - easily memorized or small crib sheet,"2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Winner, 2011 Golden Geek Best Wargame Nominee",14,Best with 2 players,1725,7.59,1.49,525960
Through the Desert,327,1998,"Area Enclosure, Route/Network Building","Abstract Strategy, Animals, Arabian","Abstract Games, Strategy Games",45 minutes,10 and up,8 and up,"Animals: Camels, Desert Theme, Fantasy Flight Silver Line Games, Knizia tile-laying trilogy",No necessary in-game text,"1998 Meeples' Choice Award, 1998 Spiel des Jahres Recommended, 2006 Nederlandse Spellenprijs Nominee, 2007 As d'Or - Jeu de l'Anne Nominee",25,Best with 3 players,221,null,7.07,1.23
Web of Power,328,2000,"Area Control / Area Influence, Card Drafting, Hand Management, Route/Network Building","Medieval, Territory Building",Strategy Games,5060 minutes,12 and up,10 and up,"China: AD 850, China: Greece, China: Mars, China: North America",No necessary in-game text,"2000 Spiel des Jahres Recommended, 2001 International Gamers Awards - General Strategy; Multi-player Nominee, 2001 Nederlandse Spellenprijs Nominee",35,Best with 3 players,2905,7.33,1.34,206108
Core Worlds,329,2011,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Civilization, Science Fiction, Space Exploration",Strategy Games,90 minutes,10 and up,12 and up,"Core Worlds: Dice Tower Season 11 Kickstarter Promo, Core Worlds: Galactic Orders, Core Worlds: Galactic Orders Promo Pack, Core Worlds: Revolution",Extensive use of text - massive conversion needed to be playable,2012 Golden Geek Best Card Game Nominee,25,Best with 3 players,2779,7.32,1.27,341620
K2,330,2010,"Hand Management, Player Elimination, Point to Point Movement, Simultaneous Action Selection","Exploration, Sports","Family Games, Thematic Games",60 minutes,13 and up,10 and up,"K2: Broad Peak, K2: The Avalanche",No necessary in-game text,"2011 Golden Geek Best Family Board Game Nominee, 2011 Gra Roku Game of the Year Nominee, 2011 International Gamers Award - General Strategy; Multi-player Nominee, 2011 Japan Boardgame Prize Voters' Selection Nominee",15,Best with 34 players,48,null,7.18,1.22
Yedo,331,2012,Yedo: Sakoku,"Auction/Bidding, Set Collection, Worker Placement",Medieval,150 minutes,14 and up,12 and up,"Asian Theme, Country: Japan",Moderate in-game text - needs crib sheet or paste ups,"Strategy Games, Thematic Games",25,Best with 4 players,175,null,7.55,1.46
Shipyard,332,2009,"Card Drafting, Modular Board, Set Collection, Tile Placement","Economic, Industry / Manufacturing, Nautical",Strategy Games,120 minutes,11 and up,12 and up,,No necessary in-game text,"2010 International Gamers Awards - General Strategy; Multi-player Nominee, 2010 JoTa Best Heavy Board Game Nominee",24,(Not best with any number),2429,7.36,1.33,236057
Ca$h 'n Guns (second edition),333,2014,"Player Elimination, Simultaneous Action Selection, Take That, Variable Player Powers","Bluffing, Fighting, Humor, Mafia",Party Games,30 minutes,10 and up,10 and up,"Ca$h 'n Guns (second edition) Expansion: The Cop, Ca$h 'n Guns (second edition): The Blackmailer, Ca$h 'n Guns: More Cash 'n More Guns",Some necessary text - easily memorized or small crib sheet,"2014 Golden Geek Best Party Board Game Nominee, 2014 Golden Geek Best Party Board Game Winner, 2015 Origins Awards Best Board Game Nominee",48,Best with 68 players,3304,7.27,1.14,104700
The Downfall of Pompeii,334,2004,"Grid Movement, Hand Management, Tile Placement",Ancient,Family Games,45 minutes,10 and up,8 and up,"The Downfall of Pompeii: The Dancing Flames, Mayfair Games' Limited Edition Promo Expansion Set #7",No necessary in-game text,2006 Games Magazine Best New Family Game Winner,24,Best with 4 players,5140,7.15,1.11,259958
Chess,335,1475,"Beguile: PaWN The Enemy, Chess Mixer, Economy Chess, Epic Chess",Grid Movement,Abstract Strategy,60 minutes,6 and up,6 and up,CHUCK-A-CHESS,No necessary in-game text,Abstract Games,2,Best with 2 players,17014,7.09,1.84,272847
Lords of Vegas,336,2010,"Area Control / Area Influence, Dice Rolling, Tile Placement, Trading","City Building, Economic","Strategy Games, Thematic Games",60 minutes,12 and up,12 and up,"Lords of Vegas: Mob Rules & Union of the Shakes, Lords of Vegas: Sky Bridge / Building Boom, Lords of Vegas: UP!, Mayfair Game Variants & Mini-Expansions Set #1",No necessary in-game text,"2010 Origins Awards Best Board Game Nominee, 2011 Juego del Ao Tico Nominee",24,Best with 4 players,209,null,7.29,1.38
