name,rank,year_published,mechanics,categories,subdomains,playing_time,mfg_suggested_ages,user_suggested_ages,expansions,languages,honors,mfg_suggested_players,user_suggested_players,count_ratings,avg_ratings,std_deviation,count_views
Reds! The Russian Civil War 1918-1921,1731,2001,"Chit-Pull System, Hex-and-Counter","Civil War, Wargame",Wargames,360 minutes,12 and up,14 and up,Country: Russia,Moderate in-game text - needs crib sheet or paste ups,2002 Charles S. Roberts Best Pre-World War II Boardgame Nominee,12,Best with 2 players,315,7.28,1.38,76212
"Thirty Years War: Europe in Agony, 1618-1648",1732,2001,"Campaign / Battle Card Driven, Point to Point Movement","Pike and Shot, Wargame",Wargames,360 minutes,14 and up,10,Age of Kings,Extensive use of text - massive conversion needed to be playable,2001 Walter Luc Haas Best Simulation Winner,2,Best with 2 players,537,6.77,1.66,100750
Axis & Allies Miniatures,1733,2005,"Campaign / Battle Card Driven, Card Drafting, Dice Rolling, Roll / Spin and Move","Collectible Components, Miniatures, Wargame, World War II","Customizable Games, Wargames",60 minutes,10 and up,10 and up,"Axis & Allies Miniatures Expanded Rules, Axis & Allies Miniatures: Eastern Front 1941-1945 Map Guide, Axis & Allies Miniatures: North Africa 1940-1943 Map Guide, Axis & Allies: Legacy 3-Pack '42 & '44",Extensive use of text - massive conversion needed to be playable,2005 Origins Awards Gamers Choice Best Historical Game of the Year Winner,2,Best with 2 players,84,null,6.52,1.62
Ottoman Sunset,1734,2010,"Action Point Allowance System, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement","Wargame, World War I",Wargames,30 minutes,12 and up,14 and up,Hapsburg Eclipse,Extensive use of text - massive conversion needed to be playable,"2010 Charles S. Roberts Best Desktop Published (DTP) / Print-and-Play / Postcard Game Nominee, 2010 Charles S. Roberts Best Post-Napoleonic to Pre-World War 2 Era Board Wargame Nominee",1,Best with 1 players,298,7.43,1.35,46232
King & Assassins,1735,2013,,"Action Point Allowance System, Grid Movement, Secret Unit Deployment, Variable Player Powers","Bluffing, Medieval",30 minutes,10 and up,8 and up,,No necessary in-game text,"Family Games, Thematic Games",2,Best with 2 players,437,null,7.17,1.20
"Warhammer 40,000",1736,1993,"Dice Rolling, Modular Board, Variable Player Powers","Fighting, Miniatures, Science Fiction",Wargames,30120 minutes,17 and up,12 and up,"Chapter Approved, Dark Millennium, Warhammer 40,000 Battles, Warhammer 40,000 Codex",Moderate in-game text - needs crib sheet or paste ups,"1993 Origins Awards Best Miniatures Rules Winner, 1999/Fall Lucca Games Best Translated Game, 2003 Origins Awards Hall of Fame Inductee",26,Best with 2 players,1756,6.36,1.89,194721
Assault on Hoth: The Empire Strikes Back,1737,1988,Star Wars,"Campaign / Battle Card Driven, Dice Rolling, Hex-and-Counter","Movies / TV / Radio theme, Science Fiction, Wargame",90 minutes,12 and up,8 and up,,Some necessary text - easily memorized or small crib sheet,Thematic Games,2,Best with 2 players,395,7.01,1.34,85153
Korea: The Forgotten War,1738,2003,"Dice Rolling, Hex-and-Counter, Simulation","Korean War, Wargame",Wargames,360 minutes,16 and up,2,"Country: Korea, Operational Combat Series",Moderate in-game text - needs crib sheet or paste ups,2003 Charles S. Roberts Best Modern Era Boardgame Nominee,2,Best with 2 players,188,8.09,1.66,84468
Kaleidos,1739,1995,Pattern Recognition,Party Game,Party Games,60 minutes,10 and up,8 and up,"Kaleidos: 2009 Expansion, Kaleidos: 2014 Expansion",No necessary in-game text,"1995 Spiel des Jahres Recommended, 2009 As d'Or - Jeu de l'Anne Nominee, 2009 Deutscher Lernspielpreis ""9 years and up"" Nominee, 2009 Deutscher Lernspielpreis ""9 years and up"" Winner",212,Best with 4 players,481,6.79,1.31,38910
Smarty Party!,1740,2003,Smarty Party!,"Smarty Party! Expansion Set, Smarty Party! Expansion Set 2, Smarty Party! Expansion Set Junior, Smarty Party! Gamers' Expansion","Party Game, Trivia",45 minutes,13 and up,12 and up,,Extensive use of text - massive conversion needed to be playable,Party Games,38,Best with 56 players,575,6.64,1.45,61432
Eketorp,1741,2003,"Country: Sweden, Vikings","Action / Movement Programming, Hand Management, Secret Unit Deployment, Simultaneous Action Selection","Bluffing, Fighting, Medieval",4560 minutes,8 and up,8 and up,,No necessary in-game text,"Family Games, Strategy Games",36,(Not best with any number),503,null,6.37,1.26
